,Open,High,Low,Close,Volume
2023-01-31 13:56:00,221.3,221.328,221.24,221.283,100.0
2023-01-31 13:54:00,221.32,221.348,221.26,221.303,100.0
2023-01-31 13:53:00,221.452,221.48,221.274,221.317,300.0
2023-01-31 13:45:00,221.187,221.215,221.127,221.17,100.0
2023-01-31 13:42:00,221.285,221.313,221.225,221.268,100.0
2023-01-31 13:40:00,221.364,221.392,221.304,221.347,121.0
2023-01-31 13:37:00,221.167,221.196,221.108,221.15,100.0
2023-01-31 13:36:00,221.192,221.22,221.132,221.175,100.0
2023-01-31 13:35:00,221.266,221.294,221.206,221.249,200.0
2023-01-31 13:34:00,221.285,221.313,221.225,221.268,100.0
2023-01-31 13:33:00,221.148,221.176,221.088,221.131,100.0
2023-01-31 13:24:00,220.991,221.019,220.931,220.974,100.0
2023-01-31 13:20:00,221.02,221.048,220.951,220.993,200.0
2023-01-31 13:19:00,221.128,221.156,221.058,221.101,300.0
2023-01-31 13:18:00,221.207,221.235,221.068,221.111,300.0
2023-01-31 13:16:00,221.396,221.424,221.336,221.379,219.0
2023-01-31 13:11:00,221.109,221.137,221.049,221.092,100.0
2023-01-31 13:04:00,221.432,221.461,221.363,221.406,200.0
2023-01-31 13:03:00,221.491,221.52,221.431,221.474,100.0
2023-01-31 13:02:00,221.339,221.48,221.279,221.435,261.0
2023-01-31 13:01:00,221.256,221.382,221.196,221.337,300.0
2023-01-31 12:57:00,221.481,221.51,221.422,221.464,300.0
2023-01-31 12:47:00,221.589,221.618,221.49,221.533,350.0
2023-01-31 12:46:00,221.609,221.637,221.549,221.592,100.0
2023-01-31 12:44:00,221.511,221.539,221.451,221.494,133.0
2023-01-31 12:43:00,221.462,221.534,221.402,221.489,200.0
2023-01-31 12:39:00,221.452,221.48,221.314,221.357,200.0
2023-01-31 12:38:00,221.458,221.49,221.398,221.445,200.0
2023-01-31 12:37:00,221.521,221.549,221.461,221.504,100.0
2023-01-31 12:35:00,221.452,221.48,221.392,221.435,105.0
2023-01-31 12:33:00,221.521,221.549,221.461,221.504,100.0
2023-01-31 12:32:00,221.374,221.603,221.314,221.558,336.0
2023-01-31 12:30:00,221.266,221.294,221.206,221.249,100.0
2023-01-31 12:28:00,221.285,221.313,221.225,221.268,200.0
2023-01-31 12:20:00,221.069,221.097,221.009,221.052,100.0
2023-01-31 12:19:00,221.069,221.097,221.009,221.052,100.0
2023-01-31 12:18:00,221.04,221.068,220.98,221.023,100.0
2023-01-31 12:16:00,220.736,220.764,220.656,220.699,200.0
2023-01-31 12:13:00,220.726,220.754,220.666,220.709,100.0
2023-01-31 12:11:00,220.824,220.852,220.759,220.802,300.0
2023-01-31 12:10:00,220.824,220.852,220.745,220.787,200.0
2023-01-31 12:09:00,221.02,221.048,220.96,221.003,168.0
2023-01-31 12:07:00,220.693,220.778,220.634,220.733,200.0
2023-01-31 12:04:00,220.785,220.813,220.666,220.709,300.0
2023-01-31 12:02:00,220.829,220.857,220.769,220.812,813.0
2023-01-31 12:01:00,220.829,220.857,220.769,220.812,100.0
2023-01-31 12:00:00,220.608,220.636,220.548,220.591,100.0
2023-01-31 11:57:00,220.196,220.42,220.136,220.375,800.0
2023-01-31 11:56:00,220.412,220.489,220.028,220.081,790.0
2023-01-31 11:55:00,220.485,220.513,220.426,220.468,100.0
2023-01-31 11:54:00,220.461,220.499,220.401,220.454,200.0
2023-01-31 11:53:00,220.529,220.558,220.47,220.513,100.0
2023-01-31 11:52:00,220.441,220.469,220.381,220.424,100.0
2023-01-31 11:51:00,220.392,220.43,220.332,220.385,225.0
2023-01-31 11:50:00,220.382,220.479,220.323,220.365,300.0
2023-01-31 11:44:00,220.588,220.617,220.529,220.571,100.0
2023-01-31 11:42:00,220.706,220.921,220.485,220.876,700.0
2023-01-31 11:40:00,220.422,220.45,220.362,220.405,100.0
2023-01-31 11:39:00,220.618,220.813,220.489,220.621,3900.0
2023-01-31 11:37:00,220.745,220.774,220.686,220.728,100.0
2023-01-31 11:34:00,220.622,220.738,220.489,220.532,706.0
2023-01-31 11:32:00,220.451,220.479,220.391,220.434,100.0
2023-01-31 11:31:00,220.284,220.396,220.224,220.346,400.0
2023-01-31 11:30:00,220.215,220.244,220.156,220.199,100.0
2023-01-31 11:26:00,220.107,220.136,220.048,220.091,104.0
2023-01-31 11:25:00,220.049,220.077,219.989,220.032,110.0
2023-01-31 11:21:00,220.196,220.224,220.136,220.179,324.0
2023-01-31 11:20:00,220.314,220.342,220.254,220.297,100.0
2023-01-31 11:18:00,220.171,220.199,220.112,220.154,130.0
2023-01-31 11:16:00,220.078,220.106,220.018,220.061,100.0
2023-01-31 11:15:00,220.058,220.391,219.999,220.346,364.0
2023-01-31 11:14:00,220.019,220.175,219.96,220.13,230.0
2023-01-31 11:13:00,220.166,220.204,220.107,220.159,200.0
2023-01-31 11:12:00,220.215,220.244,219.95,219.992,300.0
2023-01-31 11:11:00,220.294,220.322,220.234,220.277,100.0
2023-01-31 11:10:00,220.402,220.479,220.303,220.434,424.0
2023-01-31 11:09:00,220.569,220.597,220.509,220.552,200.0
2023-01-31 11:07:00,220.598,220.724,220.538,220.679,300.0
2023-01-31 11:04:00,220.765,220.793,220.421,220.463,708.0
2023-01-31 11:02:00,220.745,220.813,220.558,220.601,647.0
2023-01-31 11:01:00,220.839,220.867,220.779,220.822,100.0
2023-01-31 11:00:00,220.824,220.852,220.764,220.807,100.0
2023-01-31 10:56:00,220.569,220.597,220.509,220.552,100.0
2023-01-31 10:55:00,220.412,220.518,220.342,220.385,500.0
2023-01-31 10:54:00,220.382,220.41,220.264,220.306,200.0
2023-01-31 10:52:00,220.343,220.567,220.283,220.522,604.0
2023-01-31 10:51:00,220.544,220.572,220.352,220.395,405.0
2023-01-31 10:50:00,220.569,220.597,220.411,220.454,200.0
2023-01-31 10:45:00,220.574,220.602,220.254,220.297,332.0
2023-01-31 10:42:00,220.314,220.342,220.254,220.297,200.0
